"Weight 
[note 4]","Year 
[note 5]","Men 
aged 
16 to 24","Men 
aged 
25 to 34","Men 
aged 
35 to 49","Men 
aged 
50 to 59","Men 
aged 
60 and over","Men 
aged 
16 and over","Women 
aged 
16 to 24","Women 
aged 
25 to 34","Women 
aged 
35 to 49","Women 
aged 
50 to 59","Women 
aged 
60 and over","Women 
aged 
16 and over","All persons 
aged 
16 to 24","All persons 
aged 
25 to 34","All persons 
aged 
35 to 49","All persons 
aged 
50 to 59","All persons 
aged 
60 and over","All persons 
aged 
16 and over",
Weighted,2022 [note 11],26.7,49.1,66.5,64.2,83.1,68.9,24.3,51.2,69.7,70.0,82.7,70.0,25.5,50.1,67.9,66.9,82.9,69.4,
Weighted,2021 [note 11],21.3,48.8,61.5,65.5,84.3,67.1,26.0,48.7,64.4,66.7,82.2,66.7,23.6,48.8,62.8,66.1,83.3,66.9,
Weighted,2020 [note 10],20.5,43.3,58.7,65.9,82.5,64.7,25.8,48.6,61.3,62.3,77.8,63.2,23.0,46.1,59.9,64.2,80.4,64.0,
Weighted,2019 [note 8],13.3 [u],40.9,60.0,54.4,81.5,60.5,24.8 [u],43.5,65.0,67.9,79.6,64.8,18.0,42.3,62.4,60.7,80.6,62.5,
Weighted,2018,8.4,43.0,60.3,71.9,83.5,63.0,26.1,43.0,57.8,62.2,74.4,59.4,15.6,43.0,59.2,67.5,79.0,61.3,
Weighted,2017,23.3,42.5,51.7,58.1,84.0,59.2,24.1,46.1,53.9,58.6,80.2,59.8,23.6,44.3,52.7,58.3,82.2,59.5,
Weighted,2016,23.6,39.9,57.1,57.3,80.4,60.0,30.5,47.9,56.9,67.5,75.4,61.3,27.0,43.6,57.0,62.4,78.1,60.6,
Weighted,2015,24.0,36.2,46.5,61.1,79.4,56.3,22.4,38.9,57.4,60.4,76.1,57.0,23.3,37.5,52.1,60.8,77.9,56.7,
Weighted,2014,16.7,39.8,50.9,55.6,77.4,55.1,23.8,43.1,50.3,53.4,72.7,53.9,20.0,41.3,50.6,54.6,75.3,54.6,
Weighted,2013,10.1,36.0,48.0,56.4,78.6,53.4,27.6,44.5,50.4,54.8,74.8,55.3,18.5,39.6,49.2,55.6,76.9,54.3,
Weighted,2012,13.3,30.3,43.2,52.3,77.3,51.3,16.1,38.1,43.4,51.8,68.1,48.9,14.7,33.7,43.3,52.1,73.3,50.2,
Weighted,2011 [note 7],19.9,36.5,46.3,56.9,76.1,55.9,19.3,45.9,49.1,56.3,70.9,54.1,19.6,41.5,47.7,56.6,73.8,55.0,
Weighted,2010 [note 7],20.3,37.8,48.6,59.3,77.5,57.2,22.3,40.4,48.8,53.9,69.5,52.4,21.4,39.1,48.7,56.7,73.8,54.9,
Weighted,2009 [note 7],15.1,37.9,47.3,58.9,76.6,56.5,24.3,43.1,47.5,53.0,69.7,52.6,20.4,40.6,47.4,56.0,73.4,54.6,
Weighted,2008 [note 7],22.2,36.1,50.6,57.8,79.1,57.9,19.8,41.2,45.2,53.4,71.3,51.3,20.8,38.7,47.9,55.7,75.6,54.7,
Weighted,2007 [note 7],15.4,36.7,45.9,59.9,79.3,55.8,21.1,41.0,45.9,54.8,70.8,51.8,18.3,38.8,45.9,57.5,75.5,53.9,
Weighted,2006 [note 7],21.3,32.2,43.3,57.9,79.1,54.0,23.7,39.0,41.7,52.4,71.1,49.8,22.6,35.6,42.5,55.2,75.5,51.9,
Weighted,2005 [note 6],14.7,28.9,39.3,57.3,78.1,51.9,20.9,33.9,41.0,51.8,68.7,47.5,18.0,31.4,40.2,54.7,73.9,49.8,
Weighted,2004 [note 6],17.4,30.4,38.8,56.8,77.2,51.2,19.6,33.1,38.5,54.4,67.2,46.5,18.5,31.7,38.7,55.7,72.8,48.9,
Weighted,2003,15.3,26.2,37.9,55.1,75.5,49.0,21.4,33.7,36.8,53.5,67.3,46.0,18.4,30.0,37.3,54.3,71.9,47.5,
Weighted,2002,15.2,27.2,40.6,56.8,75.5,50.7,18.6,33.5,38.4,51.3,68.0,45.5,17.1,30.5,39.5,54.3,72.2,48.1,
Weighted,2001,17.5,27.7,38.8,57.8,74.2,48.5,22.2,34.4,40.5,48.7,62.5,44.9,20.0,30.9,39.6,53.5,68.7,46.7,
Weighted,2000,14.4,24.2,39.2,56.9,76.1,48.6,21.5,29.3,40.4,46.7,65.0,44.1,18.1,26.7,39.8,52.2,71.2,46.5,
Unweighted,1998,15.6,26.3,40.5,59.9,76.9,52.0,17.6,29.5,40.6,47.8,64.8,44.2,16.7,28.0,40.6,54.3,71.6,48.2,
