"Weight 
[note 4]","Year 
[note 5]
[note 9]","Men 
aged 
16 to 24","Men 
aged 
25 to 34","Men 
aged 
35 to 49","Men 
aged 
50 to 59","Men 
aged 
60 and over","Men 
aged 
16 and over","Women 
aged 
16 to 24","Women 
aged 
25 to 34","Women 
aged 
35 to 49","Women 
aged 
50 to 59","Women 
aged 
60 and over","Women 
aged 
16 and over","All persons 
aged 
16 to 24","All persons 
aged 
25 to 34","All persons 
aged 
35 to 49","All persons 
aged 
50 to 59","All persons 
aged 
60 and over","All persons 
aged 
16 and over",
Weighted,2022 [note 11],86.5,71.8,59.2,51.7,46.4,59.9,85.4,72.7,67.1,58.3,60.7,66.7,86.0,72.2,63.2,55.0,54.0,63.4,
Weighted,2021 [note 11],82.9,66.1,57.7,53.3,46.4,58.4,82.9,68.5,62.8,59.1,60.6,64.8,82.9,67.3,60.3,56.3,53.9,61.7,
Weighted,2020 [note 10],80.1,67.5,54.7,51.9,44.2,56.7,80.5,65.3,61.1,57.2,58.8,62.7,80.3,66.4,57.9,54.6,52.0,59.8,
Weighted,2019,76.1,61.3,52.6,52.1,43.6,54.8,79.7,63.1,59.2,54.5,57.5,61.0,77.7,62.3,56.0,53.3,51.1,58.0,
Weighted,2018,69.5,66.5,49.0,48.4,46.5,54.1,75.1,60.9,59.9,58.2,55.7,60.2,72.1,63.6,54.5,53.3,51.4,57.2,
Weighted,2017,68.8,60.8,50.9,53.8,46.0,54.3,79.3,60.4,59.6,62.3,59.6,62.7,73.9,60.6,55.3,58.0,53.3,58.6,
Weighted,2016,77.6,56.2,54.3,59.2,43.7,55.8,76.9,62.3,60.7,60.8,58.5,62.5,77.2,59.3,57.5,60.0,51.6,59.2,
Weighted,2015,68.2,60.2,58.2,57.6,44.8,56.2,70.5,62.3,57.0,60.5,60.6,61.3,69.3,61.3,57.6,59.1,53.2,58.8,
Weighted,2014,69.7,56.0,54.3,55.5,45.0,54.5,72.6,61.6,60.6,61.3,61.0,62.6,71.2,58.8,57.5,58.4,53.6,58.6,
Weighted,2013,70.6,52.6,53.4,55.1,44.7,53.6,72.0,63.2,60.2,58.1,61.7,62.4,71.3,57.8,56.8,56.7,53.7,58.1,
Weighted,2012,74.8,54.3,56.1,53.1,42.7,54.5,73.1,63.3,62.2,60.0,61.4,63.3,73.9,58.7,59.2,56.6,52.8,59.0,
Weighted,2011 [note 7],70.1,59.8,53.2,53.4,40.8,52.4,69.6,60.8,55.3,58.2,57.9,58.9,69.8,60.3,54.3,55.9,49.9,55.8,
Weighted,2010 [note 7],72.0,55.7,51.7,49.6,40.5,51.1,69.3,57.4,55.8,57.4,57.2,58.3,70.6,56.6,53.8,53.7,49.5,54.9,
Weighted,2009 [note 7],72.3,56.0,49.9,47.6,37.9,49.6,65.7,57.9,55.8,56.5,55.5,57.3,68.8,57.0,53.1,52.3,47.4,53.7,
Weighted,2008 [note 7],69.5,53.5,50.2,45.9,37.2,48.6,63.8,57.0,57.4,56.0,56.7,57.7,66.5,55.4,54.1,51.2,47.8,53.4,
Weighted,2007 [note 7],68.3,53.8,53.3,44.9,38.4,49.9,67.8,60.7,57.9,54.6,58.5,59.1,68.0,57.4,55.8,50.0,49.3,54.8,
Weighted,2006 [note 7],66.4,50.6,53.9,46.3,38.4,49.6,67.6,57.0,57.8,53.5,58.2,58.3,67.0,54.0,56.0,50.0,49.3,54.3,
Weighted,2005 [note 6],65.9,52.7,51.8,40.8,35.2,47.5,64.5,56.1,56.1,51.3,57.7,56.8,65.2,54.5,54.1,46.2,47.5,52.5,
Weighted,2004 [note 6],63.4,50.2,49.5,40.3,34.6,45.9,65.6,57.9,54.5,50.7,58.5,56.9,64.6,54.3,52.2,45.6,47.9,51.8,
Weighted,2003,61.1,49.0,48.3,41.3,34.0,45.1,61.6,52.7,55.4,50.1,56.8,55.2,61.3,50.9,52.1,45.8,46.6,50.5,
Weighted,2002,64.0,50.8,51.3,38.1,31.8,45.6,58.0,50.9,55.5,50.0,55.4,54.1,60.8,50.9,53.5,44.2,44.9,50.2,
Weighted,2001,59.6,47.4,49.0,37.6,36.3,45.0,57.4,52.8,53.4,51.0,53.9,53.5,58.5,50.1,51.3,44.6,46.0,49.5,
Weighted,2000,61.8,48.9,48.8,36.8,31.5,44.5,59.2,54.2,54.2,48.2,56.1,54.4,60.5,51.6,51.5,42.6,45.2,49.6,
Unweighted,1998,57.2,49.6,46.3,32.0,29.9,41.2,57.2,53.1,52.2,48.0,55.5,53.2,57.2,51.5,49.5,40.5,44.1,47.7,
Unweighted,1996,57.1,48.9,42.8,31.5,27.6,39.8,57.8,53.2,51.8,48.8,53.4,52.8,57.5,51.2,47.7,40.6,41.9,46.9,
Unweighted,1994,59.0,50.4,42.0,33.2,26.9,40.5,57.7,55.3,51.3,51.7,54.1,53.7,58.3,53.2,46.9,42.5,42.5,47.7,
Unweighted,1992,58.2,49.6,38.6,30.6,24.0,38.4,60.2,51.4,48.6,49.0,52.5,51.8,59.2,50.6,43.9,40.2,39.9,45.6,
