Country code,Country,Sex,"Religion 
[note 16]","2022 
Current smokers 
%","2022 
Current smokers 
LCL","2022 
Current smokers 
UCL","2022 
Ex-smokers 
%","2022 
Ex-smokers 
LCL","2022 
Ex-smokers 
UCL","2022 
Never smoked 
%","2022 
Never smoked 
LCL","2022 
Never smoked 
UCL","2022  
Weighted count 
[note 2]","2022 
Sample size 
[note 3]","2021 
Current smokers 
%","2021 
Current smokers 
LCL","2021 
Current smokers 
UCL","2021 
Ex-smokers 
%","2021 
Ex-smokers 
LCL","2021 
Ex-smokers 
UCL","2021 
Never smoked 
%","2021 
Never smoked 
LCL","2021 
Never smoked 
UCL","2021  
Weighted count 
[note 2]","2021 
Sample size 
[note 3]","2020 
Current smokers 
%","2020 
Current smokers 
LCL","2020 
Current smokers 
UCL","2020 
Ex-smokers 
%","2020 
Ex-smokers 
LCL","2020 
Ex-smokers 
UCL","2020 
Never smoked 
%","2020 
Never smoked 
LCL","2020 
Never smoked 
UCL","2020 
Weighted count 
[note 2]","2020 
Sample size 
[note 3]","2019 
Current smokers 
%","2019 
Current smokers 
LCL","2019 
Current smokers 
UCL","2019 
Ex-smokers 
%","2019 
Ex-smokers 
LCL","2019 
Ex-smokers 
UCL","2019 
Never smoked 
%","2019 
Never smoked 
LCL","2019 
Never smoked 
UCL","2019 
Weighted count 
[note 2]","2019 
Sample size 
[note 3]","2018 
Current smokers 
%","2018 
Current smokers 
LCL","2018 
Current smokers 
UCL","2018 
Ex-smokers 
%","2018 
Ex-smokers 
LCL","2018 
Ex-smokers 
UCL","2018 
Never smoked 
%","2018 
Never smoked 
LCL","2018 
Never smoked 
UCL","2018 
Weighted count 
[note 2]","2018 
Sample size 
[note 3]","2017 
Current smokers 
%","2017 
Current smokers 
LCL","2017 
Current smokers 
UCL","2017 
Ex-smokers 
%","2017 
Ex-smokers 
LCL","2017 
Ex-smokers 
UCL","2017 
Never smoked 
%","2017 
Never smoked 
LCL","2017 
Never smoked 
UCL","2017 
Weighted count 
[note 2]","2017 
Sample size 
[note 3]","2016 
Current smokers 
%","2016 
Current smokers 
LCL","2016 
Current smokers 
UCL","2016 
Ex-smokers 
%","2016 
Ex-smokers 
LCL","2016 
Ex-smokers 
UCL","2016 
Never smoked 
%","2016 
Never smoked 
LCL","2016 
Never smoked 
UCL","2016 
Weighted count 
[note 2]","2016 
Sample size 
[note 3]","2015 
Current smokers 
%","2015 
Current smokers 
LCL","2015 
Current smokers 
UCL","2015 
Ex-smokers 
%","2015 
Ex-smokers 
LCL","2015 
Ex-smokers 
UCL","2015 
Never smoked 
%","2015 
Never smoked 
LCL","2015 
Never smoked 
UCL","2015 
Weighted count 
[note 2]","2015 
Sample size 
[note 3]","2014 
Current smokers 
%","2014 
Current smokers 
LCL","2014 
Current smokers 
UCL","2014 
Ex-smokers 
%","2014 
Ex-smokers 
LCL","2014 
Ex-smokers 
UCL","2014 
Never smoked 
%","2014 
Never smoked 
LCL","2014 
Never smoked 
UCL","2014 
Weighted count 
[note 2]","2014 
Sample size 
[note 3]"
E92000001,England,Persons,No religion,14.9,14.4,15.5,26.2,25.6,26.7,58.9,58.2,59.5,"17,032,462","39,514",15.6,15.1,16.1,26.8,26.3,27.3,57.6,57.0,58.2,"16,726,537","44,992",16.9,16.4,17.4,26.2,25.7,26.7,56.9,56.3,57.5,"16,376,579","44,339",17.1,16.7,17.5,26.4,26.0,26.9,56.5,55.9,57.0,"15,738,076","53,659",17.8,17.4,18.2,26.0,25.5,26.5,56.2,55.7,56.8,"14,811,745","52,438",18.7,18.2,19.1,26.3,25.8,26.7,55.1,54.5,55.6,"14,019,260","51,045",19.6,19.2,20.1,26.3,25.8,26.7,54.1,53.5,54.7,"13,084,982","48,142",21.9,21.4,22.4,35.2,34.7,35.8,42.9,42.3,43.4,"12,489,384","49,377",23.5,23.0,24.0,35.0,34.5,35.6,41.4,40.9,42.0,"11,736,962","48,297"
E92000001,England,Persons,Christian,11.3,10.9,11.7,26.8,26.3,27.2,61.9,61.4,62.5,"20,462,319","58,277",11.6,11.2,12.0,26.9,26.5,27.3,61.5,61.0,62.0,"20,967,495","67,758",11.9,11.6,12.3,27.6,27.1,28.0,60.5,60.0,61.0,"21,042,492","66,925",12.1,11.8,12.4,27.5,27.1,27.9,60.3,59.9,60.8,"21,133,866","79,692",12.8,12.5,13.0,28.1,27.7,28.4,59.2,58.8,59.6,"21,923,118","86,451",13.1,12.8,13.4,28.4,28.0,28.7,58.5,58.1,58.9,"22,919,304","93,184",13.9,13.6,14.2,28.3,28.0,28.7,57.8,57.4,58.2,"23,139,488","94,507",15.1,14.8,15.3,36.6,36.3,37.0,48.3,47.9,48.7,"23,929,620","104,142",15.9,15.6,16.2,36.6,36.2,36.9,47.5,47.1,47.9,"24,292,716","109,339"
E92000001,England,Persons,Buddhist,8.1,4.3,11.8,19.9,15.1,24.7,72.0,66.5,77.6,"210,508",436,10.9,7.3,14.5,23.3,18.6,28.0,65.8,60.3,71.4,"204,754",508,9.9,6.3,13.4,23.6,18.7,28.4,66.5,61.1,72.0,"188,890",464,12.7,9.4,16.0,17.9,14.3,21.5,69.4,64.9,73.9,"180,664",595,15.1,11.6,18.6,21.6,17.5,25.6,63.4,58.6,68.1,"177,238",606,13.3,10.4,16.2,19.0,15.5,22.4,67.7,63.7,71.8,"202,829",708,13.4,10.5,16.2,18.9,15.4,22.4,67.7,63.6,71.9,"208,494",717,13.4,10.6,16.2,25.7,22.0,29.5,60.8,56.6,65.1,"205,955",762,12.4,9.8,15.1,23.9,20.2,27.6,63.7,59.5,67.8,"190,684",765
E92000001,England,Persons,Hindu,6.1,4.5,7.7,8.8,6.8,10.8,85.2,82.7,87.6,"792,279","1,511",4.9,3.5,6.4,9.0,7.3,10.7,86.0,83.9,88.2,"692,362","1,584",6.3,4.5,8.1,8.9,7.1,10.7,84.8,82.4,87.2,"719,145","1,509",5.1,4.0,6.2,9.2,7.8,10.6,85.7,84.0,87.5,"707,714","2,158",7.1,5.7,8.4,6.2,5.0,7.4,86.7,84.9,88.5,"670,661","2,151",6.5,5.3,7.7,7.4,6.2,8.6,86.1,84.5,87.8,"660,891","2,298",6.5,5.3,7.8,7.3,6.2,8.5,86.1,84.5,87.8,"654,954","2,374",7.5,6.3,8.7,11.0,9.7,12.4,81.5,79.7,83.2,"686,008","2,643",7.2,6.0,8.4,12.0,10.6,13.5,80.8,79.0,82.6,"649,087","2,632"
E92000001,England,Persons,Jewish,6.8,3.6,10.0,29.8,24.3,35.2,63.4,57.4,69.4,"194,673",466,8.4,5.1,11.6,25.6,21.3,30.0,66.0,60.9,71.1,"236,702",629,7.3,4.0,10.7,24.8,20.6,29.1,67.8,62.6,73.1,"236,522",623,8.6,6.1,11.1,26.0,21.8,30.1,65.5,60.9,70.1,"247,343",690,6.1,4.1,8.1,25.6,21.5,29.7,68.3,63.9,72.6,"231,769",729,7.7,5.5,9.9,26.0,22.3,29.7,66.3,62.3,70.3,"226,092",738,9.9,7.2,12.6,29.9,25.8,33.9,60.2,55.8,64.6,"213,032",720,9.6,7.1,12.0,38.6,34.5,42.7,51.9,47.4,56.3,"207,445",761,11.9,8.2,15.6,41.3,37.2,45.4,46.8,42.4,51.2,"215,640",830
E92000001,England,Persons,Muslim,10.7,9.2,12.2,8.7,7.4,10.0,80.6,78.7,82.5,"1,969,373","3,243",10.6,9.1,12.1,8.6,7.5,9.8,80.8,79.0,82.5,"1,755,824","3,218",11.1,9.6,12.6,8.9,7.8,10.1,80.0,78.2,81.8,"1,612,120","3,362",11.1,10.2,12.1,8.2,7.4,9.0,80.7,79.5,81.9,"1,925,920","6,365",12.7,11.6,13.8,8.4,7.6,9.1,78.9,77.7,80.2,"1,943,436","6,573",12.6,11.7,13.6,9.4,8.6,10.2,78.0,76.8,79.2,"1,893,906","6,727",12.5,11.5,13.4,9.9,9.0,10.7,77.7,76.5,78.9,"1,885,201","6,907",13.4,12.4,14.4,12.7,11.8,13.7,73.9,72.6,75.2,"1,779,020","7,004",14.7,13.7,15.7,12.0,11.0,13.1,73.2,71.9,74.6,"1,788,308","7,230"
E92000001,England,Persons,Sikh,3.3,1.5,5.1,6.1,3.7,8.5,90.6,87.6,93.6,"267,877",578,5.6,3.1,8.1,6.4,4.0,8.7,88.1,84.7,91.4,"280,347",652,5.8,3.6,8.0,6.5,4.4,8.5,87.7,84.8,90.6,"310,834",786,5.4,3.6,7.2,5.3,3.7,7.0,89.3,86.9,91.7,"290,196","1,049",4.7,3.3,6.1,4.8,3.2,6.3,90.5,88.5,92.6,"269,766","1,023",5.3,3.7,7.0,5.1,3.4,6.7,89.6,87.2,91.9,"285,484","1,145",5.5,3.8,7.3,5.8,4.1,7.5,88.7,86.2,91.1,"288,269","1,142",4.5,2.9,6.0,7.0,5.2,8.8,88.5,86.3,90.8,"247,382","1,052",5.3,3.5,7.0,9.3,7.0,11.6,85.5,82.7,88.2,"262,043","1,183"
E92000001,England,Persons,Other religion,14.7,12.4,17.0,29.8,27.1,32.6,55.5,52.3,58.7,"781,207","1,847",14.6,12.5,16.7,28.0,25.5,30.5,57.4,54.5,60.2,"764,747","2,021",15.9,13.7,18.0,28.9,26.4,31.3,55.2,52.4,58.1,"726,639","1,980",16.3,14.5,18.1,28.4,26.2,30.6,55.4,52.9,57.8,"726,446","2,443",15.6,13.7,17.4,29.3,27.2,31.4,55.2,52.7,57.6,"730,232","2,594",16.9,15.1,18.7,27.3,25.1,29.5,55.8,53.4,58.3,"735,992","2,764",16.0,14.3,17.7,26.1,24.1,28.0,58.0,55.7,60.2,"736,469","2,781",17.4,15.7,19.1,37.3,35.1,39.6,45.3,42.9,47.6,"676,708","2,731",16.6,14.8,18.4,38.7,36.5,40.9,44.7,42.3,47.1,"643,815","2,651"
E92000001,England,Men,No religion,16.0,15.3,16.7,27.0,26.3,27.7,57.1,56.2,57.9,"9,235,778","20,861",16.9,16.2,17.5,27.9,27.3,28.6,55.2,54.4,56.0,"9,091,776","23,815",18.0,17.3,18.7,27.0,26.4,27.7,55.0,54.2,55.8,"8,883,094","23,431",17.8,17.3,18.3,27.4,26.8,28.0,54.8,54.1,55.5,"8,564,541","28,319",18.4,17.9,19.0,26.9,26.3,27.5,54.7,54.0,55.4,"8,078,960","27,739",19.4,18.8,20.1,27.0,26.4,27.6,53.5,52.8,54.2,"7,729,255","27,296",20.2,19.6,20.8,27.5,26.9,28.1,52.3,51.5,53.0,"7,215,571","25,878",22.5,21.9,23.1,37.1,36.4,37.8,40.4,39.7,41.1,"6,930,892","26,579",24.4,23.8,25.1,36.7,36.0,37.3,38.9,38.2,39.6,"6,511,813","25,963"
E92000001,England,Men,Christian,13.0,12.4,13.6,29.7,29.1,30.4,57.2,56.5,58.0,"9,132,826","25,379",13.2,12.6,13.7,30.1,29.5,30.7,56.7,56.0,57.5,"9,362,009","29,443",13.6,13.0,14.2,31.1,30.5,31.8,55.3,54.5,56.0,"9,368,034","29,062",14.1,13.6,14.5,30.9,30.3,31.5,55.0,54.4,55.7,"9,423,688","34,763",14.7,14.2,15.1,31.5,31.0,32.1,53.8,53.2,54.4,"9,839,206","38,053",14.7,14.3,15.2,31.9,31.4,32.5,53.3,52.7,53.9,"10,304,452","41,112",15.6,15.2,16.0,32.0,31.5,32.5,52.4,51.8,53.0,"10,441,406","41,812",17.0,16.6,17.5,41.1,40.6,41.7,41.9,41.3,42.4,"10,794,037","46,177",17.9,17.4,18.3,40.9,40.4,41.4,41.2,40.7,41.8,"10,997,489","48,597"
