Country code,Country,"Tenure 
[note 17]","2022
Current smokers 
%","2022 
Current smokers 
LCL","2022 
Current smokers 
UCL","2022 
Ex-smokers 
%","2022 
Ex-smokers 
LCL","2022 
Ex-smokers 
UCL","2022 
Never smoked 
%","2022 
Never smoked 
LCL","2022 
Never smoked 
UCL","2022  
Weighted count 
[note 2]","2022
Sample size 
[note 3]","2021 
Current smokers 
%","2021 
Current smokers 
LCL","2021 
Current smokers 
UCL","2021 
Ex-smokers 
%","2021 
Ex-smokers 
LCL","2021 
Ex-smokers 
UCL","2021 
Never smoked 
%","2021 
Never smoked 
LCL","2021 
Never smoked 
UCL","2021  
Weighted count 
[note 2]","2021 
Sample size 
[note 3]","2020 
Current smokers 
%","2020 
Current smokers 
LCL","2020 
Current smokers 
UCL","2020 
Ex-smokers 
%","2020 
Ex-smokers 
LCL","2020 
Ex-smokers 
UCL","2020 
Never smoked 
%","2020 
Never smoked 
LCL","2020 
Never smoked 
UCL","2020 
Weighted count 
[note 2]","2020 
Sample size 
[note 3]","2019 
Current smokers 
%","2019 
Current smokers 
LCL","2019 
Current smokers 
UCL","2019 
Ex-smokers 
%","2019 
Ex-smokers 
LCL","2019 
Ex-smokers 
UCL","2019 
Never smoked 
%","2019 
Never smoked 
LCL","2019 
Never smoked 
UCL","2019 
Weighted count 
[note 2]","2019 
Sample size 
[note 3]","2018 
Current smokers 
%","2018 
Current smokers 
LCL","2018 
Current smokers 
UCL","2018 
Ex-smokers 
%","2018 
Ex-smokers 
LCL","2018 
Ex-smokers 
UCL","2018 
Never smoked 
%","2018 
Never smoked 
LCL","2018 
Never smoked 
UCL","2018 
Weighted count 
[note 2]","2018 
Sample size 
[note 3]","2017 
Current smokers 
%","2017 
Current smokers 
LCL","2017 
Current smokers 
UCL","2017 
Ex-smokers 
%","2017 
Ex-smokers 
LCL","2017 
Ex-smokers 
UCL","2017 
Never smoked 
%","2017 
Never smoked 
LCL","2017 
Never smoked 
UCL","2017 
Weighted count 
[note 2]","2017 
Sample size 
[note 3]","2016 
Current smokers 
%","2016 
Current smokers 
LCL","2016 
Current smokers 
UCL","2016 
Ex-smokers 
%","2016 
Ex-smokers 
LCL","2016 
Ex-smokers 
UCL","2016 
Never smoked 
%","2016 
Never smoked 
LCL","2016 
Never smoked 
UCL","2016 
Weighted count 
[note 2]","2016 
Sample size 
[note 3]","2015 
Current smokers 
%","2015 
Current smokers 
LCL","2015 
Current smokers 
UCL","2015 
Ex-smokers 
%","2015 
Ex-smokers 
LCL","2015 
Ex-smokers 
UCL","2015 
Never smoked 
%","2015 
Never smoked 
LCL","2015 
Never smoked 
UCL","2015 
Weighted count 
[note 2]","2015 
Sample size 
[note 3]"
E92000001,England,Owns outright,7.3,7.0,7.7,28.9,28.3,29.4,63.8,63.2,64.4,"14,220,241","50,158",7.4,7.1,7.7,30.1,29.7,30.6,62.5,62.0,63.0,"14,176,915","56,221",7.6,7.3,7.9,31.0,30.5,31.5,61.5,60.9,62.0,"14,260,764","52,470",7.6,7.3,7.9,31.1,30.6,31.6,61.3,60.7,61.8,"14,286,193","55,162",8.1,7.8,8.3,31.4,30.9,31.9,60.6,60.0,61.1,"14,155,094","57,265",8.4,8.1,8.7,31.6,31.1,32.1,60.0,59.5,60.6,"13,931,124","57,716",8.2,7.9,8.5,32.7,32.2,33.2,59.1,58.6,59.6,"13,376,500","55,874",9.1,8.8,9.4,41.5,41.0,42.0,49.4,48.9,49.9,"13,182,273","58,086"
E92000001,England,Owns with mortgage,8.9,8.4,9.3,22.9,22.3,23.5,68.2,67.6,68.9,"13,994,673","32,063",9.5,9.1,9.9,22.6,22.0,23.1,68.0,67.3,68.6,"13,920,131","39,137",10.1,9.7,10.6,22.5,22.0,23.0,67.4,66.8,68.0,"14,013,615","40,406",10.1,9.7,10.4,23.0,22.5,23.4,67.0,66.4,67.5,"13,737,167","48,249",10.6,10.2,11.0,23.1,22.7,23.6,66.3,65.7,66.8,"13,749,371","50,350",11.0,10.6,11.3,23.5,23.0,23.9,65.6,65.0,66.1,"13,969,363","52,811",11.8,11.4,12.2,23.5,23.0,23.9,64.8,64.2,65.3,"13,739,175","52,210",13.2,12.8,13.6,33.4,33.0,33.9,53.4,52.8,53.9,"13,933,276","57,223"
E92000001,England,Rents: local authority or housing association,26.0,25.0,27.1,26.9,25.9,27.9,47.1,45.8,48.3,"6,314,463","11,571",27.1,26.1,28.2,26.4,25.4,27.3,46.5,45.3,47.7,"6,233,485","12,478",29.9,28.8,31.0,25.9,25.0,26.8,44.2,43.1,45.4,"5,915,644","13,274",28.6,27.8,29.4,25.1,24.4,25.9,46.3,45.4,47.2,"5,926,377","21,076",30.0,29.2,30.9,25.2,24.4,25.9,44.8,43.9,45.7,"5,899,117","22,076",30.2,29.4,31.0,26.5,25.8,27.2,43.3,42.4,44.1,"5,921,278","23,014",31.0,30.2,31.8,24.9,24.2,25.6,44.2,43.3,45.0,"6,065,668","23,671",32.5,31.7,33.2,28.9,28.3,29.6,38.6,37.8,39.4,"6,178,867","25,972"
E92000001,England,Rents: privately,19.0,17.9,20.0,21.0,20.0,21.9,60.1,58.8,61.3,"6,870,961","11,439",19.2,18.3,20.2,22.2,21.3,23.1,58.6,57.4,59.7,"6,917,648","12,719",20.4,19.4,21.4,21.7,20.8,22.6,57.9,56.7,59.0,"6,702,838","13,103",22.0,21.3,22.8,20.2,19.5,20.9,57.8,56.9,58.7,"6,733,049","21,270",22.2,21.5,23.0,20.6,19.9,21.3,57.2,56.3,58.1,"6,659,260","21,837",23.0,22.2,23.8,20.7,20.0,21.3,56.3,55.5,57.2,"6,784,662","22,912",23.9,23.2,24.7,20.1,19.4,20.7,56.0,55.2,56.9,"6,753,831","23,465",25.9,25.2,26.6,27.9,27.2,28.6,46.2,45.4,47.0,"6,671,015","25,045"
K02000001,United Kingdom,Owns outright,7.4,7.1,7.7,28.5,28.0,28.9,64.1,63.6,64.6,"17,185,394","71,953",7.6,7.3,7.8,29.6,29.2,30.1,62.8,62.3,63.3,"17,153,890","78,741",7.8,7.5,8.1,30.2,29.8,30.7,62.0,61.5,62.5,"17,213,900","75,102",7.9,7.6,8.1,30.6,30.1,31.0,61.5,61.1,62.0,"17,267,259","81,107",8.3,8.0,8.5,30.9,30.5,31.3,60.8,60.4,61.3,"17,115,195","82,996",8.5,8.2,8.7,31.3,30.8,31.7,60.3,59.8,60.7,"16,782,367","82,809",8.5,8.2,8.7,32.1,31.7,32.5,59.4,59.0,59.9,"16,147,641","79,452",9.3,9.0,9.6,40.8,40.4,41.3,49.8,49.4,50.3,"15,842,647","82,776"
K02000001,United Kingdom,Owns with mortgage,8.9,8.5,9.3,22.5,22.0,23,68.5,67.9,69.2,"16,560,673","43,317",9.6,9.3,10.0,22.2,21.7,22.6,68.2,67.7,68.8,"16,512,105","51,374",10.2,9.9,10.6,22.2,21.7,22.6,67.6,67.1,68.1,"16,594,240","53,606",10.1,9.8,10.4,22.8,22.4,23.2,67.1,66.6,67.6,"16,337,475","65,902",10.7,10.4,11.0,22.9,22.5,23.3,66.4,65.9,66.9,"16,379,079","68,100",11.0,10.7,11.3,23.2,22.8,23.6,65.8,65.3,66.3,"16,624,018","70,913",11.9,11.5,12.2,23.1,22.7,23.5,65.1,64.6,65.5,"16,340,627","69,739",13.3,13.0,13.6,32.9,32.5,33.4,53.8,53.3,54.2,"16,632,589","77,388"
K02000001,United Kingdom,Rents: local authority or housing association,26.8,25.8,27.7,27.2,26.3,28,46.1,45,47.1,"7,718,277","16,588",28.0,27.0,28.9,26.2,25.4,27.0,45.8,44.8,46.8,"7,581,387","17,226",30.7,29.7,31.6,25.8,25.0,26.6,43.5,42.5,44.5,"7,251,605","18,729",29.8,29.1,30.5,25.2,24.6,25.9,45.0,44.2,45.8,"7,181,821","29,790",31.0,30.3,31.7,25.2,24.6,25.8,43.8,43.1,44.6,"7,144,202","30,667",31.1,30.4,31.8,26.4,25.8,27.0,42.5,41.7,43.2,"7,212,999","31,815",32.1,31.4,32.8,24.8,24.2,25.4,43.0,42.3,43.8,"7,366,306","32,399",33.6,32.9,34.2,28.6,28.0,29.2,37.8,37.1,38.5,"7,490,226","35,731"
K02000001,United Kingdom,Rents: privately,19.2,18.3,20.1,20.9,20.0,21.8,59.9,58.8,61,"7,881,989","14,749",19.3,18.4,20.1,22.0,21.2,22.9,58.7,57.6,59.7,"7,903,060","15,905",20.6,19.7,21.5,21.6,20.8,22.4,57.8,56.7,58.8,"7,705,250","16,792",22.2,21.5,22.9,20.2,19.6,20.8,57.6,56.8,58.4,"7,728,302","27,347",22.6,21.9,23.3,20.4,19.7,21.0,57.1,56.3,57.9,"7,659,194","27,820",23.4,22.8,24.1,20.3,19.7,21.0,56.2,55.4,57.0,"7,816,488","29,000",24.2,23.5,24.9,20.0,19.4,20.6,55.8,55.0,56.6,"7,764,100","29,457",26.2,25.5,26.9,27.8,27.1,28.5,46.0,45.2,46.8,"7,658,126","31,375"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
