Table 1
Year,Proportion of population aged 16 years and over by e-cigarette use [note 1],"Men 
aged 
16 to 24","Men 
aged 
25 to 34","Men 
aged 
35 to 49","Men 
aged 
50 to 59","Men 
aged 
60 and over","Men 
aged 
16 and over","Women 
aged 
16 to 24","Women 
aged 
25 to 34","Women 
aged 
35 to 49","Women 
aged 
50 to 59","Women 
aged 
60 and over","Women 
aged 
16 and over","All persons 
aged 
16 to 24","All persons 
aged 
25 to 34","All persons 
aged 
35 to 49","All persons 
aged 
50 to 59","All persons 
aged 
60 and over","All persons 
aged 
16 and over",,,,,,
2019,"Current e-cigarette user, or vaper (%)",3.2,7.7,9.3,6.6,3.8,6.1,3.4,10.5,5.4,7.5,2.4,5.4,3.3,9.2,7.3,7.1,3.0,5.7,,,,,,
2019,Ex vaper (%),4.0,4.2,4.9,1.7,0.8,2.9,1.3,0.9,1.8,2.3,0.8,1.3,2.8,2.4,3.3,2.0,0.8,2.1,,,,,,
2019,"Tried vaping, but didn't continue to vape (%)",17.3,19.4,10.5,11.9,5.7,11.8,15.6,20.7,14.0,9.7,4.8,11.7,16.5,20.1,12.3,10.8,5.2,11.7,,,,,,
2019,Never vaped (%),75.5,68.7,75.3,79.8,89.8,79.3,79.7,67.9,78.8,80.5,92.0,81.5,77.3,68.3,77.1,80.1,91.0,80.4,,,,,,
2019,Weighted base (in thousands),"3,776","4,014","5,714","4,434","7,394","25,331","3,051","4,577","6,184","4,101","8,531","26,444","6,827","8,591","11,898","8,534","15,925","51,775",,,,,,
2019,Unweighted sample,149,203,538,659,"2,327","3,876",152,263,693,727,"2,663","4,498",301,466,"1,231","1,386","4,990","8,374",,,,,,
2018,"Current e-cigarette user, or vaper (%)",7.8,9.3,11.3,7.2,3.5,7.7,1.1,4.7,5.7,6.3,5.1,5.0,4.8,7.0,8.5,6.8,4.4,6.3,,,,,,
2018,Ex vaper (%),5.3,8.0,6.4,2.3,1.2,4.4,4.2,5.6,3.7,3.5,1.6,3.4,4.8,6.8,5.0,2.9,1.4,3.9,,,,,,
2018,"Tried vaping, but didn't continue to vape (%)",19.1,14.6,9.5,6.7,3.6,9.6,16.3,17.8,8.9,8.0,4.2,9.7,17.8,16.3,9.2,7.4,3.9,9.7,,,,,,
2018,Never vaped (%),67.8,68.0,72.7,83.8,91.6,78.3,78.4,71.9,81.7,82.2,89.2,81.9,71.7,70.0,77.3,83.0,90.3,80.1,,,,,,
2018,Weighted base (in thousands),"3,393","4,483","6,147","4,266","6,947","25,236","2,855","4,822","6,291","4,316","8,039","26,323","6,248","9,305","12,438","8,582","14,986","51,559",,,,,,
2018,Unweighted sample,218,335,847,790,"1,754","3,944",209,405,999,811,"1,939","4,363",427,740,"1,846","1,601","3,693","8,307",,,,,,
