Table 1
Year,Proportion of population aged 16 years and over by e-cigarette use [note 1],"Men 
aged 
16 to 24","Men 
aged 
25 to 34","Men 
aged 
35 to 49","Men 
aged 
50 to 59","Men 
aged 
60 and over","Men 
aged 
16 and over","Women 
aged 
16 to 24","Women 
aged 
25 to 34","Women 
aged 
35 to 49","Women 
aged 
50 to 59","Women 
aged 
60 and over","Women 
aged 
16 and over","All persons 
aged 
16 to 24","All persons 
aged 
25 to 34","All persons 
aged 
35 to 49","All persons 
aged 
50 to 59","All persons 
aged 
60 and over","All persons 
aged 
16 and over",,,,,,
2022,Daily user (%),3.6,7.4,8.2,7.4,3.7,6.0,6.7,6.2,4.9,4.9,2.2,4.4,5.1,6.8,6.5,6.1,2.9,5.2,,,,,,
2022,Occasional user (%),8.7,4.2,3.5,2.5,1.4,3.5,12.2,3.5,2.6,2.3,1.5,3.5,10.4,3.8,3.0,2.4,1.5,3.5,,,,,,
2022,Used one previously (%),7,10.2,11.2,8.4,3.9,7.8,5.6,6.3,4.7,6.0,2.3,4.5,6.3,8.3,7.9,7.2,3.0,6.1,,,,,,
2022,Never used (%),80.6,78.2,77.0,81.8,91.0,82.7,75.5,84.0,87.8,86.8,94.0,87.5,78.1,81.1,82.5,84.3,92.6,85.2,,,,,,
2022,Weighted base (in thousands),3494,"4,269","5,950","4,201","7,741","25,655","3,362","4,185","6,146","4,207","8,795","26,695","6,856","8,453","12,097","8,407","16,536","52,350",,,,,,
2022,Unweighted sample,504,667,1253,1225,5271,8920,655,1025,1647,1443,6042,"10,812",1159,1692,2900,2668,11313,"19,732",,,,,,
2021,Daily user (%),5.1,11.3,7.7,5.3,4.2,6.4,1.9,5.4,3.8,5.8,1.8,3.5,3.6,8.3,5.7,5.6,2.9,4.9,,,,,,
2021,Occasional user (%),7.9,2.0,4.3,2.6,1.6,3.3,7.1,3.0,1.9,1.4,0.6,2.2,7.5,2.5,3.1,2.0,1.1,2.8,,,,,,
2021,Used one previously (%),8.0,6.0,8.1,8.6,4.9,6.8,4.2,13.7,7.3,3.5,2.5,5.7,6.2,9.9,7.7,6.0,3.6,6.3,,,,,,
2021,Never used (%),79.0,80.7,80.0,83.5,89.4,83.4,86.7,77.9,86.9,89.3,95.1,88.5,82.7,79.3,83.5,86.5,92.4,86.0,,,,,,
2021,Weighted base (in thousands),"3,592","4,169","5,897","4,142","7,856","25,656","3,276","4,236","6,042","4,351","8,760","26,665","6,869","8,405","11,939","8,493","16,616","52,321",,,,,,
2021,Unweighted sample,200,254,500,464,"1,877","3,295",259,399,651,545,"1,810","3,664",459,653,"1,151","1,009","3,687","6,959",,,,,,
2020,Daily user (%),4.1,4.6,7.0,6.6,2.1,4.7,1.6,4.4,2.9,4.9,1.9,3.0,2.9,4.5,5.0,5.7,2.0,3.8,,,,,,
2020,Occasional user (%),5.0,4.3,2.2,1.5,1.2,2.5,3.1,3.9,2.7,2.8,1.7,2.6,4.1,4.1,2.5,2.2,1.5,2.6,,,,,,
2020,Used one previously (%),8.7,14.3,11.2,8.0,4.7,9.0,8.4,10.0,7.6,6.2,3.8,6.7,8.5,12.1,9.4,7.1,4.2,7.8,,,,,,
2020,Never used (%),82.3,76.8,79.5,83.9,92.0,83.8,86.9,81.7,86.8,86.0,92.6,87.7,84.5,79.2,83.2,85.0,92.3,85.8,,,,,,
2020,Weighted base (in thousands),"3,418","4,361","6,034","4,199","7,523","25,534","3,066","4,490","6,082","4,352","8,580","26,569","6,484","8,850","12,116","8,550","16,103","52,103",,,,,,
2020,Unweighted sample,627,778,"1,624","1,554","5,824","10,407",613,"1,087","2,209","1,866","6,441","12,216","1,240","1,865","3,833","3,420","12,265","22,623",,,,,,
