Country code,Country,"Country of birth 
[note 15]","2022 
Current smokers 
%","2022 
Current smokers 
LCL","2022 
Current smokers 
UCL","2022 
Ex-smokers 
%","2022
Ex-smokers 
LCL","2022 
Ex-smokers 
UCL","2022 
Never smoked 
%","2022
Never smoked 
LCL","2022 
Never smoked 
UCL","2022  
Weighted count 
[note 2]","2022 
Sample size 
[note 3]",2021 Current smokers %,"2021 
Current smokers 
LCL","2021 
Current smokers 
UCL","2021 
Ex-smokers 
%","2021 
Ex-smokers 
LCL","2021 
Ex-smokers 
UCL","2021 
Never smoked 
%","2021 
Never smoked 
LCL","2021 
Never smoked 
UCL","2021  
Weighted count 
[note 2]","2021 
Sample size 
[note 3]","2021 
Unreliable marker2","2020 
Current smokers 
%","2020 
Current smokers 
LCL","2020 
Current smokers 
UCL","2020 
Ex-smokers 
%","2020 
Ex-smokers 
LCL","2020 
Ex-smokers 
UCL","2020 
Never smoked 
%","2020 
Never smoked 
LCL","2020 
Never smoked 
UCL","2020 
Weighted count 
[note 2]","2020 
Sample size 
[note 3]","2019 
Current smokers 
%","2019 
Current smokers 
LCL","2019 
Current smokers 
UCL","2019 
Ex-smokers 
%","2019 
Ex-smokers 
LCL","2019 
Ex-smokers 
UCL","2019 
Never smoked 
%","2019 
Never smoked 
LCL","2019 
Never smoked 
UCL","2019 
Weighted count 
[note 2]","2019 
Sample size 
[note 3]","2018 
Current smokers 
%","2018 
Current smokers 
LCL","2018 
Current smokers 
UCL","2018 
Ex-smokers 
%","2018 
Ex-smokers 
LCL","2018 
Ex-smokers 
UCL","2018 
Never smoked 
%","2018 
Never smoked 
LCL","2018 
Never smoked 
UCL","2018 
Weighted count 
[note 2]","2018 
Sample size 
[note 3]","2017 
Current smokers 
%","2017 
Current smokers 
LCL","2017 
Current smokers 
UCL","2017 
Ex-smokers 
%","2017 
Ex-smokers 
LCL","2017 
Ex-smokers 
UCL","2017 
Never smoked 
%","2017 
Never smoked 
LCL","2017 
Never smoked 
UCL","2017 
Weighted count 
[note 2]","2017 
Sample size 
[note 3]","2016 
Current smokers 
%","2016 
Current smokers 
LCL","2016 
Current smokers 
UCL","2016 
Ex-smokers 
%","2016 
Ex-smokers 
LCL","2016 
Ex-smokers 
UCL","2016 
Never smoked 
%","2016 
Never smoked 
LCL","2016 
Never smoked 
UCL","2016 
Weighted count 
[note 2]","2016 
Sample size 
[note 3]","2015 
Current smokers 
%","2015 
Current smokers 
LCL","2015 
Current smokers 
UCL","2015 
Ex-smokers 
%","2015 
Ex-smokers 
LCL","2015 
Ex-smokers 
UCL","2015 
Never smoked 
%","2015 
Never smoked 
LCL","2015 
Never smoked 
UCL","2015 
Weighted count 
[note 2]","2015 
Sample size 
[note 3]","2014 
Current smokers 
%","2014 
Current smokers 
LCL","2014 
Current smokers 
UCL","2014 
Ex-smokers 
%","2014 
Ex-smokers 
LCL","2014 
Ex-smokers 
UCL","2014 
Never smoked 
%","2014 
Never smoked 
LCL","2014 
Never smoked 
UCL","2014 
Weighted count 
[note 2]","2014 
Sample size 
[note 3]"
E92000001,England,India,5.1,3.7,6.5,6.6,4.8,8.3,88.3,86.2,90.5,"776,171","1,557",4.3,2.9,5.7,8.7,7.0,10.4,87.0,84.9,89.1,"673,562","1,572",,5.2,3.5,6.8,8.0,6.2,9.7,86.9,84.6,89.2,"656,800","1,528",5.4,4.2,6.5,8.7,7.3,10.1,85.9,84.2,87.6,"642,024","2,272",5.2,4.1,6.3,7.2,5.9,8.5,87.5,85.9,89.2,"628,489","2,275",4.6,3.6,5.6,7.8,6.5,9.1,87.6,86.0,89.2,"619,100","2,399",5.2,4.0,6.3,8.7,7.3,10.1,86.2,84.5,87.8,"623,855","2,488",5.5,4.4,6.6,12.1,10.5,13.6,82.5,80.7,84.3,"596,456","2,523",5.6,4.5,6.7,12.0,10.5,13.5,82.5,80.7,84.2,"598,580","2,703"
E92000001,England,Republic of Ireland,14.1,10.1,18.0,36.3,31.5,41.2,49.6,44.3,54.8,"239,195",558,10.6,7.7,13.6,36.5,32.3,40.8,52.8,48.2,57.5,"272,881",709,,12.3,9.0,15.5,36.0,31.5,40.5,51.7,46.9,56.5,"293,614",742,13.5,10.9,16.1,34.7,30.9,38.4,51.9,47.8,55.9,"255,685",913,11.6,9.2,14.0,37.2,33.2,41.1,51.2,47.2,55.3,"254,455",924,13.2,10.7,15.6,33.0,29.6,36.4,53.8,50.1,57.6,"275,396","1,040",15.3,12.8,17.8,37.9,34.3,41.5,46.8,43.1,50.5,"267,786","1,061",15.0,12.6,17.5,47.5,44.1,50.9,37.5,34.1,40.9,"268,146","1,131",16.5,14.0,19.0,46.2,42.8,49.6,37.3,34.0,40.6,"276,650","1,214"
E92000001,England,Pakistan,10.9,8.1,13.6,7.9,5.7,10.0,81.2,77.8,84.6,"400,636",818,10.9,7.8,14.0,5.8,4.1,7.6,83.3,79.9,86.7,"419,215",829,,10.7,8.0,13.4,7.9,5.9,9.9,81.4,78.2,84.6,"363,424",858,9.7,7.8,11.6,6.6,5.3,7.9,83.7,81.6,85.9,"439,495","1,727",10.6,8.8,12.4,8.0,6.3,9.6,81.4,79.2,83.6,"429,269","1,731",10.1,8.5,11.7,8.8,7.2,10.4,81.1,78.9,83.2,"403,599","1,672",10.4,8.7,12.1,9.0,7.5,10.6,80.5,78.4,82.7,"426,233","1,775",9.7,8.1,11.3,11.2,9.4,12.9,79.1,76.9,81.2,"390,176","1,732",13.5,11.3,15.7,12.4,10.2,14.6,74.2,71.3,77.0,"414,474","1,872"
E92000001,England,Poland,20.8,17.0,24.5,25.6,21.9,29.4,53.6,49.3,57.9,"466,121",830,21.1,17.5,24.7,24.7,21.1,28.3,54.2,49.8,58.6,"501,205",939,,23.9,20.0,27.8,22.2,18.6,25.7,53.9,49.6,58.3,"450,866",969,23.9,21.4,26.4,21.3,18.9,23.6,54.8,51.9,57.8,"559,853","1,959",24.8,22.2,27.3,21.8,19.5,24.1,53.4,50.6,56.3,"558,152","2,035",27.4,24.8,30.0,22.3,20.0,24.5,50.3,47.6,53.1,"598,952","2,207",29.6,27.1,32.2,19.5,17.4,21.6,50.9,48.1,53.7,"591,826","2,233",30.3,27.7,33.0,23.1,20.8,25.4,46.6,43.9,49.3,"535,265","2,182",32.3,29.6,35.0,21.4,19.3,23.6,46.3,43.6,48.9,"485,710","2,010"
E92000001,England,England,12.8,12.5,13.2,27.0,26.6,27.3,60.2,59.8,60.7,"32,828,091","87,856",13.4,13.1,13.7,27.1,26.8,27.4,59.5,59.1,59.9,"32,929,105","101,912",,14.0,13.7,14.3,27.3,26.9,27.6,58.7,58.3,59.1,"32,710,690","100,789",14.0,13.7,14.2,27.5,27.2,27.8,58.6,58.2,58.9,"32,461,226","118,938",14.6,14.3,14.9,27.4,27.1,27.8,57.9,57.6,58.3,"32,406,666","124,032",14.9,14.6,15.1,27.9,27.6,28.2,57.3,56.9,57.6,"32,486,692","128,605",15.6,15.3,15.9,28.0,27.7,28.3,56.4,56.1,56.8,"31,969,386","127,144",17.2,16.9,17.5,36.5,36.2,36.8,46.3,45.9,46.6,"32,302,582","137,190",18.1,17.9,18.4,36.5,36.1,36.8,45.4,45.0,45.7,"32,081,138","141,255"
E92000001,England,Northern Ireland,11.5,7.9,15.1,27.3,22.6,32.0,61.2,56.0,66.5,"181,939",519,10.6,7.4,13.8,29.1,24.6,33.5,60.4,55.3,65.4,"175,038",562,,9.4,6.2,12.6,29.8,25.1,34.6,60.7,55.5,65.9,"168,290",531,13.2,9.8,16.7,27.6,23.2,31.9,59.2,54.4,64.1,"175,292",635,11.2,8.5,13.8,31.4,27.3,35.5,57.5,53.1,61.8,"182,225",711,16.1,12.9,19.3,28.0,24.1,31.9,55.9,51.6,60.2,"182,831",746,14.7,11.8,17.6,29.4,25.5,33.3,55.9,51.6,60.1,"179,468",756,16.3,13.4,19.3,38.6,34.6,42.7,45.0,40.8,49.2,"188,431",801,18.5,15.5,21.6,38.2,34.3,42.0,43.3,39.2,47.4,"183,350",816
E92000001,England,Scotland,11.4,9.2,13.6,33.1,30.4,35.8,55.5,52.5,58.5,"592,111","1,780",13.6,11.6,15.7,35.1,32.5,37.7,51.3,48.5,54.0,"630,269","2,074",,13.7,11.6,15.8,31.1,28.6,33.6,55.2,52.4,58.0,"587,188","1,937",14.8,13.0,16.6,34.4,31.9,36.9,50.8,48.2,53.4,"568,822","2,190",13.6,11.9,15.3,33.2,30.8,35.6,53.2,50.7,55.7,"567,723","2,262",15.2,13.5,17.0,32.8,30.5,35.2,51.9,49.4,54.4,"584,282","2,386",15.6,13.9,17.3,31.9,29.8,34.1,52.5,50.1,54.8,"612,124","2,529",16.4,14.7,18.0,43.3,41.0,45.6,40.4,38.1,42.6,"614,168","2,709",18.7,17.0,20.4,40.5,38.3,42.6,40.8,38.6,43.0,"639,659","2,904"
E92000001,England,Wales,11.9,9.3,14.5,30.3,27.2,33.4,57.8,54.2,61.3,"420,898","1,266",9.1,7.1,11.0,30.4,27.5,33.4,60.5,57.4,63.7,"432,023","1,494",,11.4,9.3,13.6,30.5,27.5,33.5,58.1,54.8,61.4,"453,088","1,474",10.1,8.4,11.7,29.6,26.9,32.3,60.3,57.4,63.2,"434,814","1,618",11.3,9.6,13.1,31.8,29.2,34.5,56.8,54.0,59.7,"423,942","1,679",12.3,10.1,14.4,30.2,27.6,32.8,57.5,54.6,60.4,"431,762","1,744",11.6,9.8,13.4,30.2,27.6,32.8,58.2,55.4,61.0,"419,261","1,699",13.3,11.4,15.1,40.7,38.0,43.4,46.1,43.4,48.8,"429,177","1,835",13.0,11.1,14.8,40.6,38.0,43.2,46.5,43.8,49.2,"442,652","1,923"
E92000001,England,UK (but do not know the country),7.2,0.0,14.5,24.0,12.2,35.8,68.8,55.7,81.9,"36,719",74,6.4,0,13.9,26.2,10.2,42.2,67.4,50.1,84.7,"19,082",43,[u],9.7,1.6,17.7,27.7,14.5,40.9,62.6,48.0,77.3,"20,444",60,11.0,2.6,19.5,18.1,8.8,27.5,70.8,59.3,82.4,"27,185",83,10.4,2.4,18.4,23.0,12.4,33.6,66.7,54.5,78.8,"23,062",85,13.2,6.4,20.0,21.9,14.5,29.3,64.9,56.0,73.9,"42,310",163,18.5,9.3,27.8,29.8,20.2,39.4,51.6,41.0,62.3,"27,880",105,13.2,6.4,19.9,37.3,26.9,47.6,49.6,39.0,60.2,"25,302",120,19.6,12.4,26.7,33.3,25.1,41.5,47.1,37.9,56.3,"43,821",182
E92000001,England,Other,12.5,11.5,13.4,17.3,16.4,18.2,70.2,69.0,71.4,"5,851,742","10,763",12.0,11.1,12.8,18.7,17.8,19.6,69.4,68.2,70.5,"5,644,974","11,390",,13.2,12.3,14.2,19.0,18.1,19.9,67.8,66.6,69.0,"5,576,661","11,260",14.0,13.3,14.7,17.2,16.5,17.9,68.7,67.8,69.6,"5,464,742","16,548",14.4,13.7,15.1,18.1,17.4,18.9,67.5,66.5,68.4,"5,354,024","17,060",15.2,14.5,16.0,18.4,17.7,19.1,66.3,65.4,67.2,"5,397,678","17,914",15.3,14.6,16.0,17.8,17.1,18.5,66.9,66.0,67.8,"5,162,888","17,753",16.1,15.4,16.8,24.4,23.6,25.1,59.5,58.6,60.4,"4,958,279","18,553",16.7,16.0,17.4,24.5,23.7,25.3,58.8,57.9,59.7,"4,702,973","18,368"
K02000001,United Kingdom,India,5.1,3.7,6.4,6.6,4.9,8.2,88.4,86.3,90.4,"819,554","1,712",4.3,3.0,5.7,9.3,7.5,11.0,86.4,84.3,88.5,"712,277","1,729",,5.0,3.4,6.6,8.1,6.4,9.8,86.9,84.7,89.1,"689,781","1,681",5.3,4.2,6.4,8.9,7.5,10.2,85.8,84.2,87.5,"676,350","2,486",5.3,4.2,6.4,7.4,6.1,8.6,87.3,85.7,88.9,"660,024","2,470",4.7,3.7,5.7,7.8,6.5,9.0,87.5,86.0,89.1,"651,013","2,583",5.1,4.0,6.2,8.9,7.5,10.2,86.0,84.4,87.6,"660,789","2,714",5.6,4.5,6.7,12.5,11.0,14.1,81.9,80.1,83.6,"629,367","2,745",5.7,4.6,6.7,12.0,10.6,13.5,82.3,80.6,84.0,"631,874","2,922"
K02000001,United Kingdom,Republic of Ireland,12.9,9.4,16.5,35.5,31.0,40.1,51.5,46.7,56.4,"266,205",692,10.5,7.8,13.3,35.4,31.4,39.4,54.1,49.8,58.5,"300,207",846,,12.8,9.7,15.8,35.5,31.3,39.7,51.7,47.3,56.2,"321,251",904,13.8,11.3,16.2,34.0,30.5,37.5,52.2,48.5,56.0,"277,400","1,096",12.3,10.0,14.6,37.1,33.4,40.8,50.6,46.8,54.4,"277,903","1,113",12.9,10.6,15.2,33.4,30.1,36.6,53.7,50.2,57.3,"303,604","1,238",15.0,12.6,17.3,38.1,34.7,41.5,46.9,43.4,50.4,"298,997","1,260",15.4,13.0,17.7,46.9,43.7,50.1,37.7,34.5,40.9,"294,443","1,354",17.2,14.8,19.7,45.4,42.1,48.6,37.4,34.1,40.7,"299,988","1,420"
K02000001,United Kingdom,Pakistan,10.8,8.2,13.5,7.8,5.7,9.8,81.4,78.1,84.7,"426,077",894,11.1,8.1,14.2,5.7,4.0,7.4,83.2,79.9,86.5,"435,922",888,,10.8,8.1,13.4,7.6,5.7,9.5,81.6,78.6,84.7,"385,000",934,9.4,7.6,11.2,6.6,5.3,7.8,84.0,82.0,86.1,"466,830","1,860",10.7,8.9,12.4,8.1,6.5,9.6,81.3,79.1,83.4,"456,827","1,855",10.0,8.4,11.6,8.6,7.1,10.1,81.4,79.3,83.5,"433,809","1,804",10.1,8.5,11.8,8.9,7.4,10.4,81.0,78.9,83.0,"450,049","1,888",9.5,7.9,11.1,11.4,9.7,13.1,79.1,77.0,81.2,"410,550","1,841",13.5,11.3,15.6,12.5,10.4,14.7,74.0,71.2,76.7,"432,978","1,968"
