Country code,Country,Highest level of education,"2022 
Current smokers 
%","2022
Current smokers 
LCL","2022 
Current smokers 
UCL","2022
Ex-smokers 
%","2022 
Ex-smokers 
LCL","2022 
Ex-smokers 
UCL","2022 
Never smoked 
%","2022 
Never smoked 
LCL","2022 
Never smoked 
UCL","2022  
Weighted count 
[note 2]","2022 
Sample size 
[note 3]","2021 
Current smokers 
%","2021 
Current smokers 
LCL","2021 
Current smokers 
UCL","2021 
Ex-smokers 
%","2021 
Ex-smokers 
LCL","2021 
Ex-smokers 
UCL","2021 
Never smoked 
%","2021 
Never smoked 
LCL","2021 
Never smoked 
UCL","2021  
Weighted count 
[note 2]","2021 
Sample size 
[note 3]","2020 
Current smokers 
%","2020 
Current smokers 
LCL","2020 
Current smokers 
UCL","2020 
Ex-smokers 
%","2020 
Ex-smokers 
LCL","2020 
Ex-smokers 
UCL","2020 
Never smoked 
%","2020 
Never smoked 
LCL","2020 
Never smoked 
UCL","2020 
Weighted count 
[note 2]","2020 
Sample size 
[note 3]","2019 
Current smokers 
%","2019 
Current smokers 
LCL","2019 
Current smokers 
UCL","2019 
Ex-smokers 
%","2019 
Ex-smokers 
LCL","2019 
Ex-smokers 
UCL","2019 
Never smoked 
%","2019 
Never smoked 
LCL","2019 
Never smoked 
UCL","2019 
Weighted count 
[note 2]","2019 
Sample size 
[note 3]","2018 
Current smokers 
%","2018 
Current smokers 
LCL","2018 
Current smokers 
UCL","2018 
Ex-smokers 
%","2018 
Ex-smokers 
LCL","2018 
Ex-smokers 
UCL","2018 
Never smoked 
%","2018 
Never smoked 
LCL","2018 
Never smoked 
UCL","2018 
Weighted count 
[note 2]","2018 
Sample size 
[note 3]","2017 
Current smokers 
%","2017 
Current smokers 
LCL","2017 
Current smokers 
UCL","2017 
Ex-smokers 
%","2017 
Ex-smokers 
LCL","2017 
Ex-smokers 
UCL","2017 
Never smoked 
%","2017 
Never smoked 
LCL","2017 
Never smoked 
UCL","2017 
Weighted count 
[note 2]","2017 
Sample size 
[note 3]","2016 
Current smokers 
%","2016 
Current smokers 
LCL","2016 
Current smokers 
UCL","2016 
Ex-smokers 
%","2016 
Ex-smokers 
LCL","2016 
Ex-smokers 
UCL","2016 
Never smoked 
%","2016 
Never smoked 
LCL","2016 
Never smoked 
UCL","2016 
Weighted count 
[note 2]","2016 
Sample size 
[note 3]","2015 
Current smokers 
%","2015 
Current smokers 
LCL","2015 
Current smokers 
UCL","2015 
Ex-smokers 
%","2015 
Ex-smokers 
LCL","2015 
Ex-smokers 
UCL","2015 
Never smoked 
%","2015 
Never smoked 
LCL","2015 
Never smoked 
UCL","2015 
Weighted count 
[note 2]","2015 
Sample size 
[note 3]","2014 
Current smokers 
%","2014 
Current smokers 
LCL","2014 
Current smokers 
UCL","2014 
Ex-smokers 
%","2014 
Ex-smokers 
LCL","2014 
Ex-smokers 
UCL","2014 
Never smoked 
%","2014 
Never smoked 
LCL","2014 
Never smoked 
UCL","2014 
Weighted count 
[note 2]","2014 
Sample size 
[note 3]"
E92000001,England,Degree or equivalent,6.6,6.2,7.1,18.7,18.2,19.3,74.6,74.0,75.3,"12,846,686","28,607",6.6,6.2,7.0,19.8,19.3,20.4,73.6,72.9,74.2,"12,559,809","32,894",7.1,6.7,7.5,19.6,19.1,20.2,73.3,72.6,73.9,"12,219,862","31,755",7.3,7.0,7.7,19.9,19.4,20.3,72.8,72.3,73.4,"11,257,445","36,570",7.5,7.1,7.8,19.8,19.3,20.3,72.8,72.2,73.3,"10,812,909","36,621",7.7,7.3,8.0,20.0,19.5,20.5,72.3,71.7,72.9,"10,607,009","37,495",8.3,7.9,8.7,20.1,19.6,20.6,71.6,71.1,72.2,"10,249,222","36,457",9.5,9.1,9.9,33.1,32.6,33.7,57.4,56.7,58.0,"9,837,499","37,749",9.7,9.3,10.1,32.7,32.2,33.3,57.5,56.9,58.2,"9,337,102","37,603"
E92000001,England,Higher education,11.0,9.9,12.2,26.7,25.3,28.1,62.2,60.6,63.8,"2,200,480","5,926",11.4,10.4,12.4,27.1,25.9,28.3,61.5,60.1,62.8,"2,587,939","7,990",12.8,11.8,13.8,27.1,25.9,28.3,60.1,58.7,61.4,"2,765,283","8,268",12.8,12.0,13.6,26.1,25.1,27.1,61.1,60.0,62.2,"2,759,855","10,076",12.5,11.7,13.2,26.7,25.6,27.7,60.9,59.8,62.0,"2,784,837","10,754",12.6,11.9,13.4,26.3,25.4,27.3,61.1,60.0,62.1,"2,865,910","11,487",12.9,12.1,13.6,26.2,25.2,27.1,60.9,59.9,62.0,"2,964,051","11,836",14.0,13.3,14.7,35.1,34.1,36.1,50.9,49.9,51.9,"3,038,060","13,022",14.1,13.3,14.8,36.5,35.6,37.5,49.4,48.4,50.4,"2,958,605","13,151"
E92000001,England,GCE A level or equivalent,13.9,13.2,14.6,23.7,22.9,24.4,62.4,61.5,63.4,"7,825,606","17,947",14.5,13.9,15.2,23.3,22.6,24.0,62.2,61.3,63.0,"7,583,982","20,381",16.0,15.3,16.7,23.1,22.4,23.8,60.9,60.1,61.7,"7,596,854","20,709",15.6,15.1,16.2,23.2,22.6,23.8,61.2,60.5,61.9,"7,548,806","26,250",16.0,15.4,16.5,22.7,22.1,23.3,61.3,60.6,62.0,"7,650,897","27,754",16.6,16.1,17.2,23.2,22.6,23.8,60.2,59.5,60.9,"7,771,208","28,995",17.2,16.7,17.7,23.2,22.6,23.7,59.6,59.0,60.3,"7,710,971","29,332",18.4,17.9,19.0,31.7,31.1,32.3,49.9,49.2,50.5,"7,726,041","31,777",19.2,18.7,19.8,31.5,30.9,32.1,49.2,48.6,49.9,"7,805,376","33,141"
E92000001,England,GCSE grades A*-C or equivalent,19.2,18.3,20.1,26.0,25.1,26.8,54.8,53.8,55.9,"6,150,171","14,975",20.9,20.1,21.7,25.5,24.7,26.2,53.6,52.7,54.6,"6,527,257","18,456",20.8,20.0,21.6,26.0,25.2,26.7,53.3,52.4,54.2,"6,512,875","18,884",20.0,19.3,20.6,25.2,24.5,25.8,54.8,54.1,55.6,"6,593,982","24,296",21.0,20.4,21.7,25.4,24.8,26.0,53.6,52.8,54.3,"6,670,616","25,450",21.5,20.9,22.1,25.8,25.2,26.4,52.7,52.0,53.5,"6,820,201","26,647",22.2,21.5,22.8,25.3,24.7,26.0,52.5,51.8,53.2,"6,729,467","26,499",23.5,22.9,24.1,31.2,30.5,31.8,45.3,44.6,46.0,"6,844,701","29,062",25.3,24.7,25.9,31.0,30.4,31.7,43.6,43.0,44.3,"6,895,661","30,446"
E92000001,England,Other qualification,24.2,22.6,25.8,23.2,21.9,24.5,52.6,50.9,54.3,"2,697,148","5,962",23.5,22.1,24.9,22.8,21.6,24.0,53.7,52.1,55.3,"2,572,585","6,386",25.3,23.9,26.8,23.5,22.2,24.7,51.2,49.7,52.7,"2,704,352","7,064",23.6,22.6,24.6,23.2,22.2,24.2,53.2,52.0,54.3,"2,946,297","10,646",24.8,23.8,25.8,23.2,22.3,24.1,52.0,50.9,53.1,"3,051,330","11,519",25.0,24.0,26.0,24.2,23.3,25.1,50.8,49.7,51.9,"3,194,158","12,567",25.7,24.8,26.7,24.2,23.3,25.0,50.1,49.0,51.2,"3,243,490","12,882",26.5,25.6,27.4,29.3,28.4,30.2,44.2,43.2,45.2,"3,369,319","14,366",28.0,27.1,28.9,28.9,28.0,29.8,43.1,42.1,44.0,"3,437,512","15,117"
E92000001,England,No qualifications,26.1,24.5,27.7,25.5,24.0,26.9,48.5,46.7,50.2,"2,376,611","5,679",27.6,26.1,29.0,25.7,24.4,26.9,46.8,45.2,48.4,"2,383,996","6,565",28.7,27.2,30.2,25.2,24.0,26.4,46.1,44.6,47.7,"2,278,563","6,795",28.3,27.2,29.4,24.2,23.3,25.2,47.5,46.3,48.6,"2,728,742","10,637",29.0,27.9,30.0,25.7,24.8,26.7,45.3,44.2,46.4,"2,809,259","11,722",28.4,27.4,29.3,26.3,25.4,27.2,45.3,44.2,46.5,"2,896,728","12,354",28.3,27.3,29.3,25.9,25.0,26.7,45.9,44.8,46.9,"2,983,130","13,016",30.4,29.5,31.4,29.1,28.3,30.0,40.4,39.5,41.4,"3,261,723","14,912",31.1,30.2,32.0,29.3,28.5,30.2,39.5,38.6,40.5,"3,357,670","15,885"
W92000004,Wales,Degree or equivalent,7.3,5.6,9.0,17.8,16.2,19.3,74.9,72.8,77.0,"616,508","3,459",7.9,6.7,9.0,17.9,16.5,19.3,74.2,72.5,75.9,"616,687","4,106",9.1,7.5,10.7,17.8,16.4,19.2,73.1,71.1,75.0,"597,087","4,141",7.2,6.2,8.1,19.5,18.2,20.8,73.3,71.9,74.8,"548,115","4,860",7.1,6.2,8.0,19.4,18.1,20.6,73.6,72.1,75.0,"539,083","5,024",7.8,6.8,8.8,20.6,19.4,21.9,71.6,70.0,73.1,"522,824","5,060",8.2,7.2,9.2,19.6,18.2,21.0,72.1,70.5,73.8,"498,771","4,697",8.6,7.7,9.6,33.9,32.3,35.5,57.5,55.8,59.2,"472,505","5,046",9.3,8.3,10.3,33.2,31.5,34.8,57.5,55.7,59.3,"468,307","4,993"
W92000004,Wales,Higher education,13.0,10.1,15.9,23.2,20.1,26.3,63.9,60.2,67.5,"148,145",986,12.0,9.7,14.2,25.6,22.9,28.4,62.4,59.3,65.5,"171,006","1,303",12.5,10.2,14.8,25.9,23.2,28.5,61.6,58.5,64.8,"175,095","1,423",12.4,10.5,14.3,24.5,22.3,26.7,63.1,60.5,65.6,"182,432","1,799",12.6,10.8,14.4,27.8,25.6,30.0,59.6,57.2,62.1,"178,575","1,880",12.0,10.3,13.8,27.5,25.4,29.7,60.4,58.0,62.9,"192,212","2,096",13.0,11.2,14.8,25.9,23.6,28.2,61.1,58.6,63.6,"209,303","2,143",14.9,13.1,16.7,34.8,32.6,37.0,50.3,48.0,52.6,"211,811","2,470",15.1,13.4,16.7,34.5,32.4,36.6,50.4,48.2,52.7,"203,651","2,419"
W92000004,Wales,GCE A level or equivalent,14.2,12.5,15.9,21.2,19.5,23.0,64.6,62.2,66.9,"461,970","2,580",14.6,13.0,16.3,21.3,19.6,23.1,64.0,61.8,66.2,"461,770","2,895",16.1,14.4,17.8,22.2,20.5,23.9,61.7,59.6,63.8,"475,285","3,144",16.7,15.3,18.2,21.9,20.4,23.3,61.4,59.5,63.3,"450,607","3,933",17.0,15.7,18.4,22.8,21.4,24.2,60.2,58.5,61.9,"467,376","4,336",18.0,16.5,19.5,21.4,20.0,22.8,60.6,58.8,62.4,"466,352","4,465",18.1,16.6,19.6,22.0,20.5,23.5,59.9,57.8,61.9,"459,124","4,340",19.3,17.9,20.6,30.7,29.1,32.3,50.1,48.2,51.9,"461,394","4,894",20.6,19.2,22.1,31.9,30.4,33.4,47.5,45.8,49.2,"475,544","5,094"
W92000004,Wales,GCSE grades A*-C or equivalent,20.3,18.1,22.6,25.2,23.0,27.5,54.4,51.7,57.1,"354,703","2,054",20.3,18.3,22.4,23.3,21.4,25.3,56.3,53.9,58.7,"385,577","2,522",22.0,19.9,24.1,21.8,20.1,23.5,56.2,53.9,58.6,"389,530","2,727",23.4,21.8,25.0,22.8,21.4,24.3,53.8,52.0,55.6,"425,902","3,908",23.2,21.6,24.8,24.2,22.7,25.6,52.6,50.8,54.4,"415,198","4,066",22.7,21.1,24.2,23.1,21.6,24.5,54.3,52.5,56.0,"418,446","4,239",22.4,20.8,24.0,22.0,20.5,23.4,55.6,53.8,57.5,"414,066","4,078",24.1,22.6,25.5,28.6,27.2,30.0,47.3,45.7,49.0,"415,879","4,678",26.0,24.6,27.5,29.1,27.6,30.6,44.9,43.2,46.5,"419,500","4,794"
