"Weight 
[note 4]","Year 
[note 5]","Men 
aged 
16 to 24","Men 
aged 
25 to 34","Men 
aged 
35 to 49","Men 
aged 
50 to 59","Men 
aged 
60 and over","Men 
aged 
16 and over","Women 
aged 
16 to 24","Women 
aged 
25 to 34","Women 
aged 
35 to 49","Women 
aged 
50 to 59","Women 
aged 
60 and over","Women 
aged 
16 and over","All persons 
aged 
16 to 24","All persons 
aged 
25 to 34","All persons 
aged 
35 to 49","All persons 
aged 
50 to 59","All persons 
aged 
60 and over","All persons 
aged 
16 and over",
Weighted,2022 [note 11],9.9,14.4,13.7,17.3,9.0,12.5,11.0,13.3,10.0,12.5,6.8,10.0,10.5,13.8,11.8,14.9,7.9,11.2,
Weighted,2021 [note 11],13.5,17.4,16.3,16.1,8.4,13.7,12.7,16.1,13.3,13.6,7.0,11.7,13.1,16.8,14.8,14.8,7.7,12.7,
Weighted,2020 [note 10],15.9,18.4,18.7,16.4,9.8,15.3,14.4,17.9,15.1,16.1,9.1,13.7,15.2,18.1,16.9,16.3,9.4,14.5,
Weighted,2019,20.7,22.8,19.0,21.8,10.4,17.9,15.2,20.8,14.3,14.6,8.7,13.8,18.3,21.8,16.5,18.4,9.5,15.8,
Weighted,2018,28.0,19.1,20.3,14.5,8.8,17.0,18.4,22.3,16.9,15.8,11.3,16.2,23.6,20.8,18.6,15.2,10.2,16.6,
Weighted,2017,23.9,22.5,23.7,19.4,8.6,18.7,15.7,21.3,18.6,15.6,8.0,15.0,19.9,21.9,21.1,17.5,8.3,16.8,
Weighted,2016,17.2,26.3,19.6,17.4,11.1,17.7,16.0,19.6,16.9,12.8,10.2,14.5,16.6,23.0,18.2,15.0,10.6,16.1,
Weighted,2015,24.1,25.4,22.3,16.5,11.4,19.1,22.9,23.0,18.3,15.6,9.4,16.6,23.5,24.2,20.3,16.0,10.4,17.8,
Weighted,2014,25.2,26.5,22.5,19.8,12.4,20.4,20.9,21.8,19.6,18.0,10.6,17.2,23.1,24.2,21.0,18.9,11.4,18.8,
Weighted,2013,26.4,30.4,24.2,19.6,11.9,21.6,20.3,20.4,19.7,18.9,9.6,16.8,23.4,25.5,22.0,19.2,10.7,19.2,
Weighted,2012,21.9,31.9,24.9,22.4,13.0,22.2,22.6,22.7,21.4,19.3,12.3,18.8,22.2,27.4,23.2,20.8,12.6,20.4,
Weighted,2011 [note 7],24.0,25.5,25.2,20.1,14.1,21.0,24.5,21.2,22.8,18.3,12.2,18.8,24.2,23.2,23.9,19.2,13.1,19.8,
Weighted,2010 [note 7],22.2,27.6,24.9,20.5,13.4,20.9,23.8,25.4,22.6,19.6,13.1,19.8,23.1,26.4,23.7,20.0,13.2,20.3,
Weighted,2009 [note 7],23.5,27.3,26.4,21.5,14.5,22.0,26.0,23.9,23.2,20.5,13.5,20.2,24.8,25.5,24.7,21.0,14.0,21.0,
Weighted,2008 [note 7],23.7,29.6,24.5,22.8,13.1,21.6,28.9,25.3,23.3,20.5,12.4,20.6,26.4,27.3,23.9,21.6,12.7,21.1,
Weighted,2007 [note 7],26.8,29.3,25.2,22.1,12.7,22.1,25.4,23.2,22.7,20.5,12.1,19.7,26.1,26.1,23.9,21.3,12.4,20.9,
Weighted,2006 [note 7],26.4,33.5,26.2,22.6,12.9,23.2,24.7,26.2,24.6,22.1,12.1,20.9,25.5,29.6,25.3,22.4,12.4,22.0,
Weighted,2005 [note 6],29.0,33.6,29.2,25.3,14.2,25.3,28.0,29.0,25.9,23.5,13.3,22.7,28.5,31.2,27.5,24.4,13.7,23.9,
Weighted,2004 [note 6],30.2,34.6,30.9,25.8,14.9,26.4,27.7,28.2,28.0,22.5,13.6,23.0,28.9,31.2,29.3,24.1,14.2,24.6,
Weighted,2003,32.9,37.7,32.1,26.4,16.1,28.0,30.2,31.4,28.2,23.2,14.1,24.2,31.5,34.4,30.0,24.7,15.0,26.0,
Weighted,2002,30.5,35.8,28.9,26.7,16.7,26.8,34.2,32.6,27.4,24.3,14.2,25.0,32.5,34.2,28.1,25.5,15.3,25.9,
